,Restaurant Name,Zip Code,Inspection Date,Score,Address,Facility ID,Google Rating,Yelp Rating
13560,Jason's Deli,78748,2024-10-28,96,"9600 S IH
AUSTIN, TX 78748",10017881,4.4,3.7
15139,MN - Dollar General #6946,78653,2024-10-08,93,"12750 LAPOYNOR ST
MANOR, TX 78653
(30.33562, -97.55975)",2804037,3.9,1.5
8695,Headliners,78701,2024-01-23,86,"221 W 6TH ST
AUSTIN, TX 78701
(30.26857, -97.74467)",2800399,4.7,4.7
787,Kung Fu Tea,78757,2024-10-10,78,"9070 RESEARCH BLVD
AUSTIN, TX 78757
(30.37273, -97.72764)",12398512,4.4,4.3
6023,LW - Santa Catarina,78734,2024-01-24,81,"1310 S FM 620 RD
LAKEWAY, TX 78734
(30.34988, -97.96488)",11175645,4.5,4.4
2485,Civil Goat Coffee,78722,2024-10-17,81,"2610 MANOR RD
AUSTIN, TX 78722
(30.28506, -97.71441)",12397984,4.3,4.3
22232,Escarpment Exxon,78749,2024-12-02,95,"6109 W WILLIAM CANNON DR
AUSTIN, TX 78749
(30.22932, -97.8645)",2803688,3.1,2.1
11868,Starbucks Coffee #6284,78705,2024-08-12,94,"504 W 24TH ST
AUSTIN, TX 78705
(30.28779, -97.74261)",2801411,4.1,3.8
19169,Houndstooth Coffee,78702,2024-11-22,91,"2823 E MARTIN LUTHER KING JR BLVD
AUSTIN, TX 78702
(30.28115, -97.71032)",11833996,4.3,3.6
6845,Nova Kitchen LLC,78701,2024-05-09,83,"440 W 2ND ST
AUSTIN, TX 78701
(30.26547, -97.74838)",12393636,4.4,4.3
19424,"Zone, The",78748,2024-04-19,98,"10616 MANCHACA RD
AUSTIN, TX 78748
(30.16504, -97.82993)",12397965,4.8,5
9170,Burger King #11575,78748,2024-02-08,97,"1905 W SLAUGHTER LN
AUSTIN, TX 78748
(30.17325, -97.82258)",12186461,3.3,1.7
6510,Flat Track Coffee,78702,2024-07-05,92,"1619 E CESAR CHAVEZ ST
AUSTIN, TX 78702
(30.25777, -97.72705)",11594617,4.7,4.5
964,Foodheads,78705,2024-08-26,96,"616 W 34TH ST
AUSTIN, TX 78705
(30.30069, -97.74043)",2801812,4.7,4.3
18097,SV - Cruzteca Mexican Kitchen,78745,2024-03-26,84,"5207 BRODIE LN
SUNSET VALLEY, TX 78745
(30.23002, -97.81698)",11836354,4.5,4.3
14785,McDonalds  (Wal-Mart),78753,2024-01-05,93,"13000 N IH
AUSTIN, TX 78753",2802240,3.5,2.2
15177,Master Donut,78741,2024-06-04,92,"6100 E RIVERSIDE DR
AUSTIN, TX 78741
(30.22646, -97.70584)",12397690,4.5,4.5
2952,New One Taco,78753,2024-02-06,86,"500 W CANYON RIDGE DR
AUSTIN, TX 78753
(30.406841, -97.672884)",12393569,4.4,4.2
8976,"Brewtorium Brewery & Kitchen, The",78752,2024-05-15,82,"6015 DILLARD CIR
AUSTIN, TX 78752
(30.32566, -97.71686)",11835018,4.6,4.2
21689,Hopdoddy Burger Bar,78702,2024-01-12,87,"1011 E 5TH ST
AUSTIN, TX 78702
(30.26388, -97.73198)",12393434,4.4,4
910,Uncle Tetsu #31015,78752,2024-02-21,99,"6929 AIRPORT BLVD
AUSTIN, TX 78752
(30.33751, -97.71765)",12399087,4.6,4.4
9045,Hi Wings,78757,2024-03-28,94,"2525 W ANDERSON LN
AUSTIN, TX 78757
(30.35566, -97.73392)",11834180,4.6,4.6
18305,Grove Market,78731,2024-05-17,88,"2601 PERSEVERANCE DR
AUSTIN, TX 78731
(30.31809, -97.75208)",12397279,4.4,4
20961,Dominos Pizza,78753,2024-04-19,98,"9616 N LAMAR BLVD
AUSTIN, TX 78753
(30.36731, -97.69624)",10061666,3.5,2.3
20122,Kentucky Fried Chicken,78723,2024-11-14,89,"7206 ED BLUESTEIN BLVD
AUSTIN, TX 78723
(30.31423, -97.66355)",11789720,2.9,1.9
12787,Hilltop Bar & Grill,78669,2024-09-10,88,"22308 W SH
SPICEWOOD, TX 78669",2801301,4.6,3.8
12777,WL - P. Terry's Burger Stand,78746,2024-03-29,100,"701 S CAPITAL OF TEXAS HWY NB UNIT H WEST LAKE HILLS
TX 78746
(30.29182, -97.82749)",10771894,4.2,3.2
20430,"Grey Market, The",78701,2024-04-09,89,"501 BRAZOS ST
AUSTIN, TX 78701
(30.26705, -97.74172)",12395901,4.3,4.1
19171,Stop n Save #3,78741,2024-01-31,86,"1800 BURTON DR
AUSTIN, TX 78741
(30.23589, -97.72886)",10557355,4.2,2
20088,SV - Schlotzsky's,78745,2024-05-14,95,"5601 BRODIE LN
SUNSET VALLEY, TX 78745
(30.2288, -97.82013)",11823630,4.3,3.2
9070,PF - Walgreens # 13446,78660,2024-03-21,100,"1509 E WELLS BRANCH PKWY
PFLUGERVILLE, TX 78660
(30.42477, -97.62763)",12392477,3.6,2.7
2051,Flea Market #A,78754,2024-02-03,97,"9500 E US 290 HWY
SVRD WB AUSTIN, TX 78754
(30.33157, -97.63073)",2800518,3.9,2.3
20831,Basil Thai,78758,2024-09-25,86,"2501 W PARMER LN
AUSTIN, TX 78758
(30.41829, -97.70233)",11761706,4.2,4
21646,Third Coast Coffee,78748,2024-03-04,97,"10515 OLD MANCHACA RD
AUSTIN, TX 78748
(30.16606, -97.82996)",12394089,4.9,4.9
11470,Austin Oaks Hospital,78745,2024-09-03,95,"1407 W STASSNEY LN
AUSTIN, TX 78745
(30.21163, -97.79175)",10929524,3.1,1.8
22381,"Terry Black's Barbecue, LLC",78704,2024-08-07,87,"1003 BARTON SPRINGS RD
AUSTIN, TX 78704
(30.2598, -97.75506)",11156887,4.7,4.5
1406,LW - Smoothie King,78734,2024-01-18,85,"1800 S FM 620 RD
LAKEWAY, TX 78734
(30.34492, -97.96574)",11585663,4.7,3.4
4429,Panera Bread #6316,78759,2024-02-26,98,"9901 N CAPITAL OF TEXAS HWY
NB AUSTIN, TX 78759
(30.38972, -97.74056)",12397776,3.9,2.9
5180,La Plancha,78702,2024-01-04,95,"1701 E MARTIN LUTHER KING JR BLVD
AUSTIN, TX 78702
(30.27944, -97.723)",12396214,4.7,4.6
19069,Wingstop #188,78753,2024-08-06,91,"9616 N LAMAR BLVD
AUSTIN, TX 78753
(30.36731, -97.69624)",2802892,3.6,3
16870,Franklin Barbecue,78702,2024-05-31,92,"900 E 11TH ST
AUSTIN, TX 78702
(30.26995, -97.73135)",10523909,4.7,4.5
20472,Cosmic Saltillo,78702,2024-09-18,81,"1300 E 4TH ST
AUSTIN, TX 78702
(30.2622, -97.73024)",12398877,4.5,4.5
8289,LW - Whataburger #796,78734,2024-05-14,97,"2011 S FM 620 RD
LAKEWAY, TX 78734
(30.34324, -97.96622)",2801952,3.9,2.4
11165,SV - Bougie's Donuts & Coffee,78745,2024-03-01,93,"5400 BRODIE LN
SUNSET VALLEY, TX 78745
(30.23028, -97.82021)",11673293,4.3,4.2
15078,"Salty Donut, The",78704,2024-06-18,99,"2000 S CONGRESS AVE
AUSTIN, TX 78704
(30.24416, -97.75194)",12395220,4.7,4.4
10883,Joe's Italian Kitchen,78660,2024-05-28,90,"1615 GRAND AVENUE PKWY
AUSTIN, TX 78660
(30.45569, -97.65911)",11915188,4.3,3.8
8643,Thompson L2 Events Kitchens,78701,2024-11-12,87,"501 BRAZOS ST
AUSTIN, TX 78701
(30.26705, -97.74172)",12395990,4.4,3
16787,BC - LT Country Market,78738,2024-03-14,89,"3325 S FM 620 RD
BEE CAVE, TX 78738
(30.32778, -97.96356)",10675703,4.3,3.7
16622,Phil's Philly Grill,78613,2024-11-07,81,"11200 LAKELINE MALL DR
AUSTIN, TX 78613
(30.47093, -97.80711)",10956732,4,3.4
14215,El Tacorrido,78753,2024-07-12,96,"9320 N LAMAR BLVD
AUSTIN, TX 78753
(30.36227, -97.69748)",11198007,4.2,4
13661,Juliet,78704,2024-08-01,79,"1500 BARTON SPRINGS RD
AUSTIN, TX 78704
(30.2616, -97.7602)",11369351,4.3,3.8
13976,Countryside Donuts,78653,2024-02-16,95,"3400 E HOWARD LN
UNIT B AUSTIN, TX 78653
(30.38854, -97.61958)",12394028,4.8,4.4
15457,Jet's Pizza,78748,2024-05-30,91,"8900 S CONGRESS AVE
AUSTIN, TX 78748
(30.16847, -97.78767)",12394251,4.4,3.9
19482,Lamar Grocery,78704,2024-03-21,95,"2238 S LAMAR BLVD
AUSTIN, TX 78704
(30.2476, -97.77374)",11659407,5,5
12878,Courtesy Shell #4,78741,2024-04-29,80,"2241 S IH
SVRD NB AUSTIN, TX 78741",11130514,1.9,1
17328,Afghan Halal Market LLC,78753,2024-10-17,81,"9200 N LAMAR BLVD
AUSTIN, TX 78753
(30.36154, -97.69854)",12397324,4,4.5
3740,Dean's One Trick Pony,78701,2024-11-05,94,"111 E CESAR CHAVEZ ST
AUSTIN, TX 78701
(30.26296, -97.74394)",12087865,4.1,4.2
23008,Cain & Abel's,78705,2024-04-17,82,"907 W 24TH ST
AUSTIN, TX 78705
(30.28814, -97.7473)",12398634,4.1,4.3
3236,Kolache Factory,78705,2024-05-28,84,"3706 N LAMAR BLVD
AUSTIN, TX 78705
(30.30491, -97.74352)",12186508,4.1,3.3
12816,PF - Sonic Drive-In #2767,78660,2024-08-29,91,"2014 W PECAN ST
PFLUGERVILLE, TX 78660
(30.44633, -97.64698)",12392738,3.5,1.5
599,Millennium,78702,2024-02-22,86,"1156 HARGRAVE ST
AUSTIN, TX 78702
(30.27263, -97.70974)",2801048,4.3,3.6
11908,Forthright,78701,2024-07-31,78,"98 SAN JACINTO BLVD
AUSTIN, TX 78701
(30.26218, -97.74238)",11501149,4.1,3.9
4937,La Hacienda Mkt Taqueria,78753,2024-02-02,94,"9717 N LAMAR BLVD
AUSTIN, TX 78753
(30.36529, -97.69496)",2801320,4,4
353,Thundercloud Subs,78727,2024-02-23,94,"2500 W PARMER LN
AUSTIN, TX 78727
(30.42209, -97.70251)",2800765,4.5,3.6
19372,7-Eleven Convenience Store #38609H,78728,2024-01-08,96,"1600 W WELLS BRANCH PKWY
AUSTIN, TX 78728
(30.44045, -97.67004)",12107176,3.8,1
3355,Perry's Steakhouse & Grill,78701,2024-07-03,84,"114 W 7TH ST
AUSTIN, TX 78701
(30.26926, -97.74343)",10131172,4.6,4.1
10980,7-Eleven Convenience Store #24008,78751,2024-05-24,93,"5101 N LAMAR BLVD
AUSTIN, TX 78751
(30.31879, -97.7305)",10155839,3.5,2.6
19282,Mr. Gattis Pizza #106,78748,2024-04-12,99,"12110 MANCHACA RD
AUSTIN, TX 78748
(30.14245, -97.83395)",12393641,3.4,2.2
6843,Olamaie,78701,2024-08-15,88,"1610 SAN ANTONIO ST
AUSTIN, TX 78701
(30.27984, -97.74346)",11175572,4.5,3.9
7281,11 Degrees Daiquiri,78660,2024-01-18,97,"2700 W PECAN ST
AUSTIN, TX 78660
(30.4504, -97.65696)",11958735,4.8,4.8
7772,Macho's Taco's,78748,2024-08-28,99,"12110 MANCHACA RD
AUSTIN, TX 78748
(30.14245, -97.83395)",10564130,4.8,4.8
20835,ABIA-Heart of Austin (Main Kitchen),78719,2024-05-15,90,"3600 PRESIDENTIAL BLVD
AUSTIN, TX 78719
(30.20476, -97.66733)",12143458,4.8,2.4
14031,Sushi Japon Steak House,78752,2024-05-10,71,"807 CAMINO LA
AUSTIN, TX 78752
(30.329, -97.70475)",11008369,4.2,4.5
70,Cantina 512,78701,2024-01-19,91,"70 RAINEY ST
AUSTIN, TX 78701
(30.25865, -97.73951)",12396372,4.3,3.6
23036,Equipment Room,78704,2024-02-28,96,"1101 MUSIC LN
AUSTIN, TX 78704
(30.2527, -97.74788)",12398179,4.5,4.4
13112,QuikTrip #4142,78753,2024-07-22,94,"221 E PARMER LN
AUSTIN, TX 78753
(30.40468, -97.66476)",12393849,3.5,3.8
2305,House of Three Gorges,78758,2024-10-02,72,"8557 RESEARCH BLVD
AUSTIN, TX 78758
(30.36081, -97.71573)",12392534,4.6,4.4
13212,"Zone, The",78748,2024-10-08,95,"10616 MANCHACA RD
AUSTIN, TX 78748
(30.16504, -97.82993)",12397965,2.6,5
18553,2 N 1 Salad Bar And Grill,78758,2024-09-25,98,"901 W BRAKER LN
AUSTIN, TX 78758
(30.38267, -97.68889)",12394814,4.5,4.6
20063,Soho House Austin First Floor Bar,78704,2024-01-16,100,"1011 S CONGRESS AVE
AUSTIN, TX 78704
(30.25361, -97.7482)",12395085,4.3,3.6
10365,Papa John's 4151,78750,2024-11-04,95,"6507 JESTER BLVD
AUSTIN, TX 78750
(30.37034, -97.80022)",12396298,2.8,2.3
16455,Mercer St. Taproom,78737,2024-10-14,100,"12005 W US 290 HWY
AUSTIN, TX 78737
(30.21099, -97.96804)",12395080,4.9,4.2
22969,"Otis Hotel, The",78705,2024-01-12,90,"1901 SAN ANTONIO ST
AUSTIN, TX 78705
(30.28225, -97.74317)",12186480,4.2,3.9
22921,BC - Subway,78738,2024-08-07,85,"12717 SHOPS PKWY
BEE CAVE, TX 78738
(30.304, -97.94143)",10262005,3.9,2.9
20860,McDonald's #22727,78758,2024-04-03,100,"12443 METRIC BLVD
AUSTIN, TX 78758
(30.41243, -97.69053)",12398159,3.4,1.8
22799,LW - Don Mario Mexican Restaurant,78734,2024-06-20,87,"1113 N FM 620 RD
LAKEWAY, TX 78734
(30.37505, -97.94615)",12397459,4.4,4
5441,Saffron,78731,2024-01-09,85,"3616 FAR WEST BLVD
AUSTIN, TX 78731
(30.35486, -97.7556)",11302586,4.5,4.3
12305,La Cabana Grill,78738,2024-11-06,89,"21103 W SH
AUSTIN, TX 78738",10222706,4.4,4.1
13332,Frozen Rolls Creamery,78703,2024-02-08,98,"704 N LAMAR BLVD
AUSTIN, TX 78703
(30.27325, -97.75343)",12398482,4.3,3.7
14889,Tsuke Edomae,78723,2024-02-20,99,"4600 MUELLER BLVD
AUSTIN, TX 78723
(30.29909, -97.70714)",12394344,4.8,4.9
3346,7-Eleven #36562H,78744,2024-01-31,96,"6422 S US 183 HWY
AUSTIN, TX 78744
(30.16491, -97.6932)",10874472,2.6,2.3
2478,PF - Jersey Mikes,78660,2024-05-07,94,"1608 TOWN CENTER DR
PFLUGERVILLE, TX 78660
(30.46389, -97.59805)",12392787,3.9,2.7
20991,Lucky Lime,78744,2024-01-24,98,"3400 COMSOUTH DR
AUSTIN, TX 78744
(30.212, -97.71976)",12396184,4,4
4225,LW - Metro Food Mart,78734,2024-11-21,84,"903 S FM 620 RD
LAKEWAY, TX 78734
(30.35473, -97.96057)",2802530,3.3,2
15415,Rainey Street LLC dba Lustre Pearl,78701,2024-10-23,90,"94 RAINEY ST
AUSTIN, TX 78701
(30.26063, -97.73809)",11473303,4.2,3.2
13381,Market Express,78653,2024-05-23,86,"13600 FM 973 SUITE 100 MANOR
TX 78653
(30.36018, -97.53316)",11632199,3.9,4.5
11698,McDonald's 31248,78704,2024-04-03,93,"710 E BEN WHITE BLVD
AUSTIN, TX 78704
(30.21915, -97.75527)",12398078,3.3,2.2
20150,Circle K #2742194,78744,2024-06-21,93,"1706 E WILLIAM CANNON DR
AUSTIN, TX 78744
(30.1894, -97.76698)",2803593,3.3,1
21991,Juiceland Food,78751,2024-09-20,97,"4500 DUVAL ST
AUSTIN, TX 78751
(30.30718, -97.7247)",10738743,4.6,4.2
5329,New Hope Ranch,78653,2024-07-15,81,"11908 SPARKS RD
MANOR, TX 78653
(30.3938, -97.51147)",11866528,4.2,1.6
5973,Pasta & Co,78731,2024-06-25,97,"3502 KERBEY LN
AUSTIN, TX 78731
(30.30757, -97.75051)",2801743,4.7,4.3
22355,Man Pasand Supermarket # 4,78753,2024-07-30,77,"12625 N IH
AUSTIN, TX 78753",12145809,4,2.4
2479,7-Eleven Convenience Store #36642B,78744,2024-02-05,84,"7715 E BEN WHITE BLVD
AUSTIN, TX 78744
(30.21806, -97.68904)",12111322,2.3,1.7
14325,LW - Thai Spice,78734,2024-11-04,87,"2009 MAIN ST
LAKEWAY, TX 78734
(30.34631, -97.96617)",12186618,4.2,3.3
18858,CVS Pharmacy #6822,78756,2024-01-18,96,"5256 BURNET RD
AUSTIN, TX 78756
(30.32529, -97.7403)",2804010,2.7,2.3
15692,Jester Market,78750,2024-11-04,82,"6507 JESTER BLVD
AUSTIN, TX 78750
(30.37034, -97.80022)",2801484,4.4,3.9
14886,Church's Chicken Store No. 386,78745,2024-05-23,84,"1945 W WILLIAM CANNON DR
AUSTIN, TX 78745
(30.2024, -97.8062)",11843471,3.4,1.8
15134,Verdes Grill,78738,2024-01-11,86,"16018 HAMILTON POOL RD
AUSTIN, TX 78738
(30.2978, -98.00716)",12123841,4.2,3.9
18843,Chick-Fil-A,78748,2024-04-11,96,"161 W SLAUGHTER LN
AUSTIN, TX 78748
(30.16687, -97.79218)",10000498,4.5,3.7
