Restaurant Name,Zip Code,Inspection Date,Score,Address,Facility ID,Process Description
Econo Lodge,78758,07/10/2023,97,"9100 BURNET RD
AUSTIN, TX 78758
(30.37464, -97.7265)",10778546,Routine Inspection
Panda Express #1289,78758,02/16/2022,92,"2501 W PARMER LN
AUSTIN, TX 78758
(30.41829, -97.70233)",10005272,Routine Inspection
Vinaigrette TX LLC,78704,03/28/2023,85,"2201 COLLEGE AVE
AUSTIN, TX 78704
(30.24139, -97.75219)",11463881,Routine Inspection
Subway Sandwich #22880,78753,07/26/2023,95,"1030 NORWOOD PARK BLVD
AUSTIN, TX 78753
(30.34112, -97.69206)",10002414,Routine Inspection
BC - HEB Food Store #404 (Deli/Bakery),78738,07/11/2022,96,"12400 W SH
BEE CAVE, TX 78738
(30.30431, -97.93243)",10260923,Routine Inspection
Lake Travis Pizza Riverplace LLC,78730,04/21/2022,80,"10815 FM 2222 RD
AUSTIN, TX 78730
(30.39391, -97.84767)",12393829,Routine Inspection
Omega Trading & Services LLC,78751,01/20/2022,93,"5740 N IH
SVRD SB AUSTIN, TX 78751",10214201,Routine Inspection
Julie Myrtille Bakery,78721,12/22/2023,88,"1023 SPRINGDALE RD
AUSTIN, TX 78721
(30.26708, -97.69333)",12186478,Routine Inspection
"Castilian, The",78705,05/13/2022,86,"2323 SAN ANTONIO ST
AUSTIN, TX 78705
(30.28732, -97.74268)",2802263,Routine Inspection
KIPP Met 10,78744,02/11/2022,95,"6800 METROPOLIS DR
AUSTIN, TX 78744
(30.20524, -97.70691)",12393421,Routine Inspection
"Baked Bear, The",78701,05/23/2023,90,"211 WALTER SEAHOLM DR
AUSTIN, TX 78701
(30.2670111, -97.753121)",11908322,Routine Inspection
Alpha Epsilon Phi,78705,08/22/2022,90,"2500 RIO GRANDE ST
AUSTIN, TX 78705
(30.28967, -97.74448)",2800368,Routine Inspection
HEB Food Store #269 - Restaurant,78759,06/24/2024,96,"10710 RESEARCH BLVD
SB AUSTIN, TX 78759
(30.39817, -97.74929)",2800129,Routine Inspection
Wendy's W120,78660,11/22/2022,91,"1425 W WELLS BRANCH PKWY
AUSTIN, TX 78660
(30.44066, -97.66462)",11119183,Routine Inspection
"Meteor, The",78704,12/12/2022,98,"2110 S CONGRESS AVE
AUSTIN, TX 78704
(30.24293, -97.75257)",12186126,Routine Inspection
IHOP,78729,11/14/2024,90,"13201 N FM 620 RD
AUSTIN, TX 78729
(30.46984, -97.79036)",2802880,Routine Inspection
Star Stop 82,78745,09/17/2024,93,"6903 BRODIE LN
AUSTIN, TX 78745
(30.21392, -97.82985)",11028062,Routine Inspection
Joslin Elementary School,78745,09/09/2022,100,"4500 MANCHACA RD
AUSTIN, TX 78745
(30.22756, -97.79022)",2800329,Routine Inspection
PF - Russo's New York Pizzeria,78660,03/21/2023,75,"18816 LIMESTONE COMMERCIAL SHL
PFLUGERVILLE, TX 78660
(30.46913, -97.59581)",12392938,Routine Inspection
Starbucks Coffee #22300,78723,07/27/2022,97,"1801 E 51ST ST
AUSTIN, TX 78723
(30.30233, -97.69938)",11261275,Routine Inspection
Driskill Hotel - Banquet Kitchen,78701,02/21/2023,89,"604 BRAZOS ST
AUSTIN, TX 78701
(30.26798, -97.74137)",10917635,Routine Inspection
Rocheli Patisserie,78702,03/08/2022,83,"1212 CHICON ST
AUSTIN, TX 78702
(30.2744, -97.72004)",12394253,Routine Inspection
"Rooftop on Sixth, The",78701,01/26/2023,87,"403 E 6TH ST
AUSTIN, TX 78701
(30.26702, -97.73908)",10504147,Routine Inspection
WL - Randall's #2477-Bakery,78746,03/15/2024,99,"3300 BEE CAVES RD
WEST LAKE HILLS, TX 78746
(30.2737, -97.79855)",10223150,Routine Inspection
Troy,78759,05/25/2022,92,"8105 MESA DR
AUSTIN, TX 78759
(30.37165, -97.75696)",11176042,Routine Inspection
Mr. Natural,78702,09/24/2024,82,"1901 E CESAR CHAVEZ ST
AUSTIN, TX 78702
(30.25695, -97.72472)",2800486,Routine Inspection
Ovenbird,78745,04/20/2023,95,"6501 S CONGRESS AVE
AUSTIN, TX 78745
(30.19529, -97.77757)",12394320,Routine Inspection
Truluck's (Austin's),78701,05/31/2022,93,"200 W 4TH ST
AUSTIN, TX 78701
(30.26657, -97.74489)",2801538,Routine Inspection
Popeye's #323 - Z & H Foods Inc.,78748,10/14/2022,93,"9718 MANCHACA RD
AUSTIN, TX 78748
(30.17522, -97.8236)",11637609,Routine Inspection
OOB - Freebirds,78753,07/21/2023,96,"1100 CENTER RIDGE DR
AUSTIN, TX 78753
(30.418, -97.67053)",10069518,Routine Inspection
PF - Freddy's Frozen Custard & Steakburgers,78660,02/15/2022,89,"2602 W PECAN ST
PFLUGERVILLE, TX 78660
(30.44881, -97.65471)",12392469,Routine Inspection
Food Basket,78727,07/27/2023,91,"12503 LAMPLIGHT VILLAGE AVE
AUSTIN, TX 78727
(30.41604, -97.69561)",11120692,Routine Inspection
Merit Coffee,78751,08/08/2023,90,"4615 N LAMAR BLVD
AUSTIN, TX 78751
(30.31532, -97.73498)",12185882,Routine Inspection
Franklin Barbecue,78702,11/19/2024,86,"900 E 11TH ST
AUSTIN, TX 78702
(30.26995, -97.73135)",10523909,Routine Inspection
Wingstop #1664,78748,01/24/2024,94,"9600 S IH
AUSTIN, TX 78748",12186656,Routine Inspection
Peace Of Mind Children's Center,78756,01/06/2023,100,"5615 BURNET RD
AUSTIN, TX 78756
(30.33187, -97.73983)",12393199,Routine Inspection
Oilcans,78701,06/30/2022,87,"211 W 4TH ST
AUSTIN, TX 78701
(30.26672, -97.7454)",12049518,Routine Inspection
CiCi's Pizza #71,78723,03/01/2022,85,"5365 N IH
AUSTIN, TX 78723",10786483,Routine Inspection
MN - Ramos Tex Mex Restaurant,78653,10/04/2023,76,"116 E PARSONS ST
MANOR, TX 78653
(30.34094, -97.5569)",12396783,Routine Inspection
Nervous Charlies,78751,08/16/2022,92,"5501 N LAMAR BLVD
AUSTIN, TX 78751
(30.32318, -97.72762)",12020964,Routine Inspection
Kebabalicious,78702,08/07/2023,93,"1311 E 7TH ST
AUSTIN, TX 78702
(30.26468, -97.7282)",11039598,Routine Inspection
BC - Einstein Bros. Bagels #3633,78738,03/15/2024,94,"12532 FM 2244 RD
BEE CAVE, TX 78738
(30.30515, -97.93592)",11258261,Routine Inspection
Curras Grill,78704,02/14/2022,91,"614 E OLTORF ST
AUSTIN, TX 78704
(30.23715, -97.74957)",2800774,Routine Inspection
Balcones Club Grill,78750,04/05/2023,97,"8600 BALCONES CLUB DR
AUSTIN, TX 78750
(30.43745, -97.78117)",10239563,Routine Inspection
HEB #476 Deli & Bakery,78753,06/28/2023,92,"500 CANYON RIDGE DR
AUSTIN, TX 78753
(30.406841, -97.672884)",2801961,Routine Inspection
Widen Elementary School,78744,04/26/2022,96,"5605 NUCKOLS CROSSING RD
AUSTIN, TX 78744
(30.18875, -97.74076)",2800240,Routine Inspection
Walnut Creek Pub,78753,02/08/2024,89,"11806 N LAMAR BLVD
AUSTIN, TX 78753
(30.38885, -97.68346)",12393322,Routine Inspection
OOB - Stars Cafe,78722,06/23/2023,81,"3101 N IH
AUSTIN, TX 78722",12397744,Routine Inspection
"BC - Secure Link, Inc",78738,08/04/2022,86,"11402 FM 2244 RD
AUSTIN, TX 78738
(30.31071, -97.91114)",11588783,Routine Inspection
Godinez Bakery,78753,05/24/2023,90,"9616 N LAMAR BLVD
AUSTIN, TX 78753
(30.36731, -97.69624)",12186270,Routine Inspection
Child Inc.-American YouthWorks,78744,11/08/2022,96,"1911 E BEN WHITE BLVD
SVRD EB AUSTIN, TX 78744
(30.21544, -97.74555)",10631897,Routine Inspection
Levy at Q2 Stadium/West 400 Pantry,78758,09/26/2023,100,"10414 MC KALLA PL
AUSTIN, TX 78758
(30.38667, -97.71812)",12394496,Routine Inspection
Chick-Fil-A,78749,05/02/2023,97,"5033 W US 290 HWY
AUSTIN, TX 78749
(30.23541, -97.82193)",2801392,Routine Inspection
Iglesia de Cristo,78754,12/01/2022,91,"8135 EXCHANGE DR
AUSTIN, TX 78754
(30.33203, -97.67261)",11343917,Routine Inspection
PF - Los Amigos Meat (Kitchen),78660,01/26/2024,94,"15812 WINDERMERE DR
PFLUGERVILLE, TX 78660
(30.44739, -97.64897)",12186600,Routine Inspection
Spring Hill Grocery,78660,09/27/2022,97,"15608 SPRING HILL LN
AUSTIN, TX 78660
(30.44584, -97.65141)",10353638,Routine Inspection
MN - Wal-Mart # 3169 - Deli,78653,05/10/2024,99,"11923 E US 290 HWY
MANOR, TX 78653
(30.34788, -97.54365)",11087502,Routine Inspection
Garbo's,78727,09/07/2022,93,"12709 N MOPAC EXPY
AUSTIN, TX 78727
(30.42398, -97.70201)",12392340,Routine Inspection
El Dorado Cafe,78757,09/04/2024,87,"3300 W ANDERSON LN
AUSTIN, TX 78757
(30.36194, -97.74232)",11673327,Routine Inspection
"Plucker's Linc, LLC",78752,01/26/2022,89,"6406 N IH
AUSTIN, TX 78752",11719409,Routine Inspection
PF - Blackhawk Golf Club,78660,06/20/2024,93,"2714 KELLY LN
PFLUGERVILLE, TX 78660
(30.4652, -97.57835)",12392486,Routine Inspection
La Michoacana,78753,03/30/2022,92,"9308 N LAMAR BLVD
AUSTIN, TX 78753
(30.36258, -97.69808)",2802495,Routine Inspection
El Pollo Regio,78723,05/25/2022,84,"6615 BERKMAN DR
AUSTIN, TX 78723
(30.31938, -97.6891)",12393520,Routine Inspection
